Date,Non-motorized,Motorized,Hybrid,Mechanized
12/3/2020,5,0,0,0
12/4/2020,12,2,1,1
12/5/2020,63,2,2,0
12/6/2020,41,3,2,2
12/7/2020,20,1,0,0
12/8/2020,15,3,0,3
12/9/2020,13,3,0,0
12/10/2020,2,5,0,1
12/11/2020,14,7,3,1
12/12/2020,36,2,2,1
12/13/2020,60,7,2,0
12/14/2020,23,1,0,0
12/15/2020,16,5,0,1
12/16/2020,23,7,0,0
12/17/2020,26,5,0,1
12/18/2020,15,5,0,0
12/19/2020,46,9,2,0
12/20/2020,69,7,0,4
12/21/2020,20,6,0,1
12/22/2020,38,5,0,0
12/23/2020,35,8,0,0
12/24/2020,35,6,2,0
12/25/2020,52,5,1,1
12/26/2020,48,7,0,2
12/27/2020,55,6,0,7
12/28/2020,48,10,0,3
12/29/2020,50,10,0,0
12/30/2020,18,7,0,0
12/31/2020,35,6,3,2
1/1/2021,55,10,1,2
1/2/2021,59,4,1,2
1/3/2021,46,5,1,3
1/4/2021,29,6,0,4
1/5/2021,7,5,1,0
1/6/2021,24,7,0,4
1/7/2021,25,5,0,3
1/8/2021,22,5,0,2
1/9/2021,52,7,2,3
1/10/2021,69,8,3,1
1/11/2021,15,7,0,1
1/12/2021,19,7,0,2
1/13/2021,9,5,0,0
1/14/2021,28,1,2,1
1/15/2021,29,7,0,4
1/16/2021,65,9,0,0
1/17/2021,64,12,5,1
1/18/2021,59,6,1,3
1/19/2021,19,7,0,0
1/20/2021,22,5,0,1
1/21/2021,20,2,1,2
1/22/2021,14,1,0,0
1/23/2021,38,3,0,0
1/24/2021,52,4,0,1
1/25/2021,23,4,0,0
1/26/2021,14,5,0,1
1/27/2021,13,1,0,1
1/28/2021,18,5,0,1
1/29/2021,27,4,0,1
1/30/2021,38,12,2,1
1/31/2021,69,9,1,1
2/1/2021,28,4,0,4
2/2/2021,22,4,0,2
2/3/2021,20,5,0,3
2/4/2021,9,3,0,0
2/5/2021,28,2,0,1
2/6/2021,66,4,0,0
2/7/2021,57,9,0,5
2/8/2021,27,1,1,2
2/9/2021,14,3,0,2
2/10/2021,17,3,0,0
2/11/2021,17,5,0,1
2/12/2021,26,1,3,1
2/13/2021,58,4,0,0
2/14/2021,34,3,0,0
2/15/2021,18,2,0,0
2/16/2001,12,3,0,0
2/17/2021,17,1,0,3
2/18/2021,26,5,0,1
2/19/2021,20,4,0,0
2/20/2021,41,2,1,1
2/21/2021,63,3,3,4
2/22/2021,20,2,0,3
2/23/2021,21,5,0,2
2/24/2021,17,2,1,0
2/25/2021,23,5,1,1
2/26/2021,26,1,2,3
2/27/2021,31,4,1,0
2/28/2021,63,3,1,2
3/1/2021,18,6,1,5
3/2/2021,22,3,0,4
3/3/2021,24,5,0,3
3/4/2021,19,1,0,1
3/5/2021,23,5,0,2
3/6/2021,54,5,0,3
3/7/2021,50,5,0,1
3/8/2021,21,5,0,0
3/9/2021,13,6,0,2
3/10/2021,15,8,0,0
3/11/2021,12,4,0,3
3/12/2021,25,4,2,1
3/13/2021,27,4,0,5
3/14/2021,49,6,0,2
3/15/2021,13,2,0,0
3/16/2021,16,5,0,1
3/17/2021,25,5,0,0
3/18/2021,18,3,0,2
3/19/2021,27,8,2,1
3/20/2021,35,4,2,0
3/21/2021,48,2,0,0
3/22/2021,30,10,0,0
3/23/2021,27,3,2,3
3/24/2021,31,8,0,1
3/25/2021,16,6,1,2
3/26/2021,11,2,0,0
3/27/2021,46,3,0,0
3/28/2021,39,0,0,1
3/29/2021,11,2,0,2
3/30/2021,16,3,0,1
3/31/2021,19,5,0,0
4/1/2021,20,0,1,1
4/2/2021,11,4,0,0
4/3/2021,21,0,0,0
4/4/2021,20,2,0,0
4/5/2021,8,3,0,0
4/6/2021,6,3,1,0
4/7/2021,5,0,0,1
4/8/2021,9,2,1,0
4/9/2021,13,2,1,0
4/10/2021,18,2,0,0
4/11/2021,19,3,0,2
4/12/2021,5,2,0,2
4/13/2021,8,3,2,0
4/14/2021,8,4,0,0
4/15/2021,9,6,0,2
