Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
2018-12-01,Washington Gulch,25,4,0,0
2018-12-02,Washington Gulch,33,6,0,2
2018-12-03,Washington Gulch,4,2,0,2
2018-12-04,Washington Gulch,15,6,0,1
2018-12-05,Washington Gulch,6,0,1,0
2018-12-06,Washington Gulch,11,2,0,2
2018-12-07,Washington Gulch,13,5,0,3
2018-12-08,Washington Gulch,49,3,0,0
2018-12-09,Washington Gulch,63,9,0,7
2018-12-10,Washington Gulch,13,4,0,2
2018-12-11,Washington Gulch,22,6,0,2
2018-12-12,Washington Gulch,9,0,0,0
2018-12-13,Washington Gulch,18,3,0,1
2018-12-14,Washington Gulch,34,3,0,3
2018-12-15,Washington Gulch,42,1,2,0
2018-12-16,Washington Gulch,74,9,2,5
2018-12-17,Washington Gulch,9,6,0,6
2018-12-18,Washington Gulch,18,8,0,6
2018-12-19,Washington Gulch,12,1,0,1
2018-12-20,Washington Gulch,9,9,1,9
2018-12-21,Washington Gulch,23,0,0,0
2018-12-22,Washington Gulch,39,21,0,2
2018-12-23,Washington Gulch,66,11,2,3
2018-12-24,Washington Gulch,28,13,0,4
2018-12-25,Washington Gulch,57,9,0,7
2018-12-26,Washington Gulch,54,12,0,8
2018-12-27,Washington Gulch,68,6,0,6
2018-12-28,Washington Gulch,38,4,0,2
2018-12-29,Washington Gulch,72,17,0,3
2018-12-30,Washington Gulch,85,36,0,5
2018-12-31,Washington Gulch,53,8,0,2
2019-01-01,Washington Gulch,19,0,1,0
2019-01-02,Washington Gulch,2,0,0,0
2019-01-03,Washington Gulch,8,1,0,0
2019-01-04,Washington Gulch,3,3,0,3
2019-01-05,Washington Gulch,12,3,0,3
2019-01-06,Washington Gulch,,,,
2019-01-07,Washington Gulch,,,,
2019-01-08,Washington Gulch,2,5,0,4
2019-01-09,Washington Gulch,1,5,0,2
2019-01-10,Washington Gulch,5,0,0,0
2019-01-11,Washington Gulch,18,3,0,2
2019-01-12,Washington Gulch,19,3,0,0
2019-01-13,Washington Gulch,29,6,0,6
2019-01-14,Washington Gulch,8,9,0,2
2019-01-15,Washington Gulch,0,0,0,0
2019-01-16,Washington Gulch,0,0,0,0
2019-01-17,Washington Gulch,0,0,0,0
2019-01-18,Washington Gulch,0,0,0,0
2019-01-19,Washington Gulch,0,0,0,0
2019-01-20,Washington Gulch,0,0,0,0
2019-01-21,Washington Gulch,,,,
2019-01-22,Washington Gulch,,,,
2019-01-23,Washington Gulch,,,,
2019-01-24,Washington Gulch,1,0,1,0
2019-01-25,Washington Gulch,0,1,0,0
2019-01-26,Washington Gulch,0,0,0,0
2019-01-27,Washington Gulch,0,0,0,0
2019-01-28,Washington Gulch,0,0,0,0
2019-01-29,Washington Gulch,0,0,0,0
2019-01-30,Washington Gulch,0,0,0,0
2019-01-31,Washington Gulch,0,0,0,0
2019-02-01,Washington Gulch,0,0,0,0
2019-02-02,Washington Gulch,0,0,0,0
2019-02-03,Washington Gulch,0,0,0,0
2019-02-04,Washington Gulch,0,0,0,0
2019-02-05,Washington Gulch,2,0,0,0
2019-02-06,Washington Gulch,3,0,0,0
2019-02-07,Washington Gulch,19,2,0,2
2019-02-08,Washington Gulch,0,0,0,0
2019-02-09,Washington Gulch,5,0,0,0
2019-02-10,Washington Gulch,0,0,0,0
2019-02-11,Washington Gulch,0,0,0,0
2019-02-12,Washington Gulch,0,2,0,0
2019-02-13,Washington Gulch,,,,
2019-02-14,Washington Gulch,,,,
2019-02-15,Washington Gulch,1,0,0,0
2019-02-16,Washington Gulch,0,0,0,0
2019-02-17,Washington Gulch,0,0,0,0
2019-02-18,Washington Gulch,0,0,0,0
2019-02-19,Washington Gulch,0,0,0,0
2019-02-20,Washington Gulch,0,0,0,0
2019-02-21,Washington Gulch,0,0,0,0
2019-02-22,Washington Gulch,0,0,0,0
2019-02-23,Washington Gulch,11,11,2,6
2019-02-24,Washington Gulch,24,4,0,2
2019-02-25,Washington Gulch,11,3,0,0
2019-02-26,Washington Gulch,38,7,0,1
2019-02-27,Washington Gulch,49,0,0,0
2019-02-28,Washington Gulch,8,2,0,2
2019-03-01,Washington Gulch,7,0,0,0
2019-03-02,Washington Gulch,0,0,0,0
2019-03-03,Washington Gulch,0,0,0,0
2019-03-04,Washington Gulch,4,0,0,0
2019-03-05,Washington Gulch,12,14,0,8
2019-03-06,Washington Gulch,12,0,0,0
2019-03-07,Washington Gulch,0,0,0,0
2019-03-08,Washington Gulch,0,3,0,1
2019-03-09,Washington Gulch,37,5,0,0
2019-03-10,Washington Gulch,44,6,2,2
2019-03-11,Washington Gulch,11,0,0,0
2019-03-12,Washington Gulch,0,0,0,0
2019-03-13,Washington Gulch,0,0,0,0
2019-03-14,Washington Gulch,0,0,0,0
2019-03-15,Washington Gulch,19,13,0,0
2019-03-16,Washington Gulch,60,17,0,0
2019-03-17,Washington Gulch,43,20,4,0
2019-03-18,Washington Gulch,19,12,1,0
2019-03-19,Washington Gulch,0,0,0,0
2019-03-20,Washington Gulch,0,0,0,0
2019-03-21,Washington Gulch,0,0,0,0
2019-03-22,Washington Gulch,0,0,0,0
2019-03-23,Washington Gulch,0,0,0,0
2019-03-24,Washington Gulch,0,0,0,0
2019-03-25,Washington Gulch,4,1,0,0
2019-03-26,Washington Gulch,20,0,0,0
2019-03-27,Washington Gulch,22,2,0,0
2019-03-28,Washington Gulch,13,5,0,0
2019-03-29,Washington Gulch,15,0,0,0
2019-03-30,Washington Gulch,48,2,0,1
2019-03-31,Washington Gulch,19,0,0,0
2019-04-01,Washington Gulch,10,5,0,1
2019-04-02,Washington Gulch,13,5,0,0
2019-04-03,Washington Gulch,5,1,0,1
2019-04-04,Washington Gulch,12,3,0,3
2019-04-05,Washington Gulch,8,2,0,2
2019-04-06,Washington Gulch,0,0,0,0
2019-04-07,Washington Gulch,0,0,0,0
2019-04-08,Washington Gulch,9,3,0,1
2019-04-09,Washington Gulch,3,3,0,0
2019-04-10,Washington Gulch,4,2,0,2
2019-04-11,Washington Gulch,9,1,0,1
2019-04-12,Washington Gulch,11,7,0,0
2019-04-13,Washington Gulch,0,0,0,0
2019-04-14,Washington Gulch,0,0,0,0
2019-04-15,Washington Gulch,0,0,0,0
