# Butte (380) ,b,c,d,e,f,g
# Colorado  SNOTEL Site - 10160 ft,,,,,,
# Reporting Frequency: Daily; Date Range: 2019-12-06 to 2020-04-15,,,,,,
#,,,,,,
# As of: Sep 22, 2020 9:44:33 AM GMT-08:00,,,,,
#,,,,,,
Date,Snow Water Equivalent (in) Start of Day Values,Change In Snow Water Equivalent (in),Snow Depth (in) Start of Day Values,Change In Snow Depth (in),Air Temperature Average (degF),Snow Density (pct) Start of Day Values
2019-12-06,2.9,0.4,19,5,24,15.3
2019-12-07,3,0.1,18,-1,29,16.7
2019-12-08,3,0,17,-1,28,17.6
2019-12-09,3.4,0.4,22,5,21,15.5
2019-12-10,3.4,0,21,-1,19,16.2
2019-12-11,3.4,0,20,-1,22,17
2019-12-12,3.4,0,19,-1,25,17.9
2019-12-13,3.8,0.4,21,2,24,18.1
2019-12-14,4.2,0.4,27,6,25,15.6
2019-12-15,4.8,0.6,31,4,17,15.5
2019-12-16,4.8,0,29,-2,6,16.6
2019-12-17,4.8,0,27,-2,8,17.8
2019-12-18,4.8,0,26,-1,20,18.5
2019-12-19,4.9,0.1,25,-1,21,19.6
2019-12-20,4.9,0,24,-1,21,20.4
2019-12-21,4.9,0,24,0,27,20.4
2019-12-22,5,0.1,23,-1,31,21.7
2019-12-23,5,0,23,0,34,21.7
2019-12-24,5,0,22,-1,30,22.7
2019-12-25,5,0,23,1,22,21.7
2019-12-26,5,0,23,0,17,21.7
2019-12-27,5.1,0.1,24,1,22,21.2
2019-12-28,5.6,0.5,30,6,16,18.7
2019-12-29,5.6,0,29,-1,3,19.3
2019-12-30,5.6,0,28,-1,3,20
2019-12-31,5.6,0,28,0,13,20
2020-01-01,5.6,0,27,-1,21,20.7
2020-01-02,5.9,0.3,29,2,16,20.3
2020-01-03,5.9,0,31,2,19,19
2020-01-04,5.9,0,30,-1,26,19.7
2020-01-05,5.9,0,28,-2,23,21.1
2020-01-06,5.9,0,28,0,15,21.1
2020-01-07,5.9,0,28,0,22,21.1
2020-01-08,6,0.1,28,0,23,21.4
2020-01-09,6,0,27,-1,17,22.2
2020-01-10,6,0,29,2,11,20.7
2020-01-11,6,0,29,0,12,20.7
2020-01-12,6.1,0.1,29,0,13,21
2020-01-13,6.2,0.1,29,0,16,21.4
2020-01-14,6.6,0.4,34,5,23,19.4
2020-01-15,6.7,0.1,32,-2,23,20.9
2020-01-16,6.7,0,31,-1,28,21.6
2020-01-17,6.8,0.1,29,-2,19,23.4
2020-01-18,7,0.2,34,5,16,20.6
2020-01-19,7,0,33,-1,21,21.2
2020-01-20,7.1,0.1,32,-1,25,22.2
2020-01-21,7.1,0,31,-1,28,22.9
2020-01-22,7.3,0.2,32,1,25,22.8
2020-01-23,7.3,0,34,2,23,21.5
2020-01-24,7.3,0,33,-1,23,22.1
2020-01-25,7.4,0.1,32,-1,25,23.1
2020-01-26,7.4,0,32,0,28,23.1
2020-01-27,7.4,0,32,0,24,23.1
2020-01-28,7.4,0,32,0,19,23.1
2020-01-29,7.4,0,31,-1,20,23.9
2020-01-30,7.4,0,31,0,17,23.9
2020-01-31,7.4,0,31,0,20,23.9
2020-02-01,7.4,0,31,0,28,23.9
2020-02-02,7.4,0,31,0,33,23.9
2020-02-03,7.4,0,31,0,24,23.9
2020-02-04,7.4,0,33,2,5,22.4
2020-02-05,7.4,0,33,0,2,22.4
2020-02-06,7.5,0.1,32,-1,16,23.4
