# Butte (380) ,b,c,d,e,f,g
# Colorado  SNOTEL Site - 10160 ft,,,,,,
# Reporting Frequency: Daily; Date Range: 2019-12-06 to 2020-04-15,,,,,,
#,,,,,,
# As of: Sep 22, 2020 9:44:33 AM GMT-08:00,,,,,
#,,,,,,
Date,Snow Water Equivalent (in) Start of Day Values,Change In Snow Water Equivalent (in),Snow Depth (in) Start of Day Values,Change In Snow Depth (in),Air Temperature Average (degF),Snow Density (pct) Start of Day Values
2020-02-07,7.9,0.4,37,5,26,21.4
2020-02-08,8.3,0.4,39,2,30,21.3
2020-02-09,8.4,0.1,38,-1,26,22.1
2020-02-10,8.4,0,38,0,22,22.1
2020-02-11,8.5,0.1,40,2,16,21.2
2020-02-12,8.5,0,39,-1,15,21.8
2020-02-13,8.5,0,39,0,18,21.8
2020-02-14,8.6,0.1,38,-1,24,22.6
2020-02-15,8.6,0,38,0,26,22.6
2020-02-16,8.8,0.2,37,-1,26,23.8
2020-02-17,9.2,0.4,43,6,25,21.4
2020-02-18,9.3,0.1,42,-1,18,22.1
2020-02-19,9.3,0,41,-1,22,22.7
2020-02-20,9.3,0,41,0,18,22.7
2020-02-21,9.3,0,40,-1,26,23.2
2020-02-22,9.4,0.1,39,-1,32,24.1
2020-02-23,9.5,0.1,40,1,27,23.8
2020-02-24,9.8,0.3,43,3,17,22.8
2020-02-25,9.8,0,43,0,8,22.8
2020-02-26,9.8,0,42,-1,15,23.3
2020-02-27,9.9,0.1,41,-1,25,24.1
2020-02-28,9.9,0,41,0,28,24.1
2020-02-29,9.9,0,40,-1,29,24.8
2020-03-01,10,0.1,40,0,28,25
2020-03-02,10.4,0.4,45,5,25,23.1
2020-03-03,10.9,0.5,50,5,25,21.8
2020-03-04,10.9,0,48,-2,29,22.7
2020-03-05,10.9,0,46,-2,32,23.7
2020-03-06,10.9,0,45,-1,34,24.2
2020-03-07,10.9,0,44,-1,35,24.8
2020-03-08,11,0.1,43,-1,33,25.6
2020-03-09,11.1,0.1,42,-1,31,26.4
2020-03-10,11.2,0.1,44,2,31,25.5
2020-03-11,11.2,0,44,0,32,25.5
2020-03-12,11.4,0.2,42,-2,35,27.1
2020-03-13,11.5,0.1,44,2,31,26.1
2020-03-14,11.7,0.2,44,0,31,26.6
2020-03-15,11.7,0,45,1,33,26
2020-03-16,11.7,0,45,0,35,26
2020-03-17,11.7,0,44,-1,36,26.6
2020-03-18,11.7,0,43,-1,33,27.2
2020-03-19,11.8,0.1,43,0,27,27.4
2020-03-20,12.7,0.9,52,9,26,24.4
2020-03-21,12.8,0.1,54,2,26,23.7
2020-03-22,13,0.2,53,-1,28,24.5
2020-03-23,13,0,53,0,28,24.5
2020-03-24,13.2,0.2,53,0,32,24.9
2020-03-25,13.3,0.1,51,-2,34,26.1
2020-03-26,13.3,0,50,-1,36,26.6
2020-03-27,13.3,0,50,0,23,26.6
2020-03-28,13.3,0,50,0,18,26.6
2020-03-29,13.3,0,49,-1,24,27.1
2020-03-30,13.4,0.1,49,0,29,27.3
2020-03-31,13.6,0.2,51,2,35,26.7
2020-04-01,13.6,0,47,-4,39,28.9
2020-04-02,13.6,0,46,-1,31,29.6
2020-04-03,13.6,0,46,0,28,29.6
2020-04-04,13.6,0,45,-1,33,30.2
2020-04-05,13.6,0,45,0,38,30.2
2020-04-06,13.6,0,44,-1,40,30.9
2020-04-07,13.4,-0.2,43,-1,39,31.2
2020-04-08,13.3,-0.1,42,-1,40,31.7
2020-04-09,13.1,-0.2,40,-2,42,32.8
2020-04-10,12.9,-0.2,39,-1,38,33.1
2020-04-11,12.9,0,39,0,36,33.1
2020-04-12,12.8,-0.1,38,-1,29,33.7
2020-04-13,12.9,0.1,39,1,20,33.1
2020-04-14,13,0.1,39,0,18,33.3
2020-04-15,13.2,0.2,39,0,28,33.8
