Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
2019-03-28,Brush Creek Trailhead,2,0,0,0
2019-03-29,Brush Creek Trailhead,4,0,0,0
2019-03-30,Brush Creek Trailhead,12,0,0,0
2019-03-31,Brush Creek Trailhead,4,0,0,0
2019-04-01,Brush Creek Trailhead,6,2,0,2
2019-04-02,Brush Creek Trailhead,4,0,0,0
2019-04-03,Brush Creek Trailhead,5,0,0,0
2019-04-04,Brush Creek Trailhead,5,0,0,0
2019-04-05,Brush Creek Trailhead,6,0,0,0
2019-04-06,Brush Creek Trailhead,6,1,0,1
2019-04-07,Brush Creek Trailhead,14,1,0,1
2019-04-08,Brush Creek Trailhead,7,3,0,2
2019-04-09,Brush Creek Trailhead,2,0,0,0
2019-04-10,Brush Creek Trailhead,0,0,0,0
2019-04-11,Brush Creek Trailhead,1,0,0,0
2019-04-12,Brush Creek Trailhead,6,0,0,0
2019-04-13,Brush Creek Trailhead,9,0,0,0
2019-04-14,Brush Creek Trailhead,3,0,1,0
2019-04-15,Brush Creek Trailhead,6,0,0,0
