Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
12/22/17,Washington Gulch,0,1,0,0
12/23/17,Washington Gulch,0,0,0,0
12/24/17,Washington Gulch,17,7,2,4
12/25/17,Washington Gulch,14,1,2,0
12/26/17,Washington Gulch,24,3,0,3
12/27/17,Washington Gulch,60,2,0,2
12/28/17,Washington Gulch,74,4,2,1
12/29/17,Washington Gulch,33,13,0,8
12/30/17,Washington Gulch,111,2,1,0
12/31/17,Washington Gulch,109,6,0,2
1/1/18,Washington Gulch,73,16,2,4
1/2/18,Washington Gulch,35,1,0,0
1/3/18,Washington Gulch,,,,
1/4/18,Washington Gulch,,,,
1/5/18,Washington Gulch,,,,
1/6/18,Washington Gulch,0,0,1,0
1/7/18,Washington Gulch,36,8,0,2
1/8/18,Washington Gulch,18,4,0,4
1/9/18,Washington Gulch,18,3,0,1
1/10/18,Washington Gulch,20,0,0,0
1/11/18,Washington Gulch,9,7,0,7
1/12/18,Washington Gulch,13,0,0,0
1/13/18,Washington Gulch,55,5,0,3
1/14/18,Washington Gulch,61,11,0,10
1/15/18,Washington Gulch,39,4,0,4
1/16/18,Washington Gulch,19,5,3,4
1/17/18,Washington Gulch,15,8,0,5
1/18/18,Washington Gulch,22,0,0,0
1/19/18,Washington Gulch,39,5,0,5
1/20/18,Washington Gulch,44,5,1,2
1/21/18,Washington Gulch,0,0,0,0
1/22/18,Washington Gulch,28,6,0,2
1/23/18,Washington Gulch,28,6,1,6
1/24/18,Washington Gulch,21,10,0,9
1/25/18,Washington Gulch,25,13,1,8
1/26/18,Washington Gulch,14,3,2,1
1/27/18,Washington Gulch,53,9,1,9
1/28/18,Washington Gulch,101,18,1,12
1/29/18,Washington Gulch,18,4,0,4
1/30/18,Washington Gulch,22,6,1,2
1/31/18,Washington Gulch,20,3,0,2
2/1/18,Washington Gulch,21,5,0,2
2/2/18,Washington Gulch,35,4,0,4
2/3/18,Washington Gulch,53,3,0,3
2/4/18,Washington Gulch,69,11,2,5
2/5/18,Washington Gulch,10,2,0,0
2/6/18,Washington Gulch,18,8,0,6
2/7/18,Washington Gulch,43,6,0,4
2/8/18,Washington Gulch,18,10,0,8
2/9/18,Washington Gulch,27,4,2,3
2/10/18,Washington Gulch,28,3,0,2
2/11/18,Washington Gulch,43,13,1,9
2/12/18,Washington Gulch,20,2,0,2
2/13/18,Washington Gulch,9,1,0,0
2/14/18,Washington Gulch,30,2,0,0
2/15/18,Washington Gulch,13,3,0,3
2/16/18,Washington Gulch,33,4,0,3
2/17/18,Washington Gulch,84,18,1,9
2/18/18,Washington Gulch,81,14,0,5
2/19/18,Washington Gulch,21,2,0,0
2/20/18,Washington Gulch,19,2,0,0
2/21/18,Washington Gulch,16,4,0,2
2/22/18,Washington Gulch,20,0,0,0
2/23/18,Washington Gulch,21,5,0,1
2/24/18,Washington Gulch,40,20,0,11
2/25/18,Washington Gulch,35,11,0,6
2/26/18,Washington Gulch,19,13,0,9
2/27/18,Washington Gulch,30,10,1,5
2/28/18,Washington Gulch,17,7,0,3
3/1/18,Washington Gulch,25,8,2,4
3/2/18,Washington Gulch,17,11,0,6
3/3/18,Washington Gulch,103,21,0,5
3/4/18,Washington Gulch,39,6,2,0
3/5/18,Washington Gulch,10,5,0,0
3/6/18,Washington Gulch,17,10,0,6
3/7/18,Washington Gulch,22,2,0,2
3/8/18,Washington Gulch,17,15,1,8
3/9/18,Washington Gulch,26,3,3,2
3/10/18,Washington Gulch,69,4,2,3
3/11/18,Washington Gulch,35,15,3,10
3/12/18,Washington Gulch,18,12,0,9
3/13/18,Washington Gulch,20,7,2,6
3/14/18,Washington Gulch,31,9,1,5
3/15/18,Washington Gulch,20,16,0,7
3/16/18,Washington Gulch,11,24,0,7
3/17/18,Washington Gulch,57,24,2,8
3/18/18,Washington Gulch,12,11,0,6
3/19/18,Washington Gulch,17,5,0,1
3/20/18,Washington Gulch,16,9,0,4
3/21/18,Washington Gulch,31,2,0,2
3/22/18,Washington Gulch,18,2,0,0
3/23/18,Washington Gulch,1,0,0,0
3/24/18,Washington Gulch,25,16,0,1
3/25/18,Washington Gulch,36,10,0,6
3/26/18,Washington Gulch,29,6,0,3
3/27/18,Washington Gulch,20,10,0,2
3/28/18,Washington Gulch,20,3,0,2
3/29/18,Washington Gulch,20,3,0,2
3/30/18,Washington Gulch,30,3,0,0
3/31/18,Washington Gulch,50,10,0,5
4/1/18,Washington Gulch,18,19,0,12
4/2/18,Washington Gulch,10,0,0,0
4/3/18,Washington Gulch,7,0,0,0
4/4/18,Washington Gulch,18,0,0,0
4/5/18,Washington Gulch,7,8,0,8
4/6/18,Washington Gulch,8,0,0,0
4/7/18,Washington Gulch,11,5,0,0
4/8/18,Washington Gulch,7,5,1,0
4/9/18,Washington Gulch,9,1,0,0
4/10/18,Washington Gulch,11,6,0,5
4/11/18,Washington Gulch,5,6,0,5
4/12/18,Washington Gulch,8,5,0,3
4/13/18,Washington Gulch,14,1,0,0
4/14/18,Washington Gulch,11,6,0,1
4/15/18,Washington Gulch,15,4,0,1
4/16/18,Washington Gulch,3,1,0,0
