Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
12/6/2019,Kebler,6,8,2,1
12/7/2019,Kebler,9,38,0,7
12/8/2019,Kebler,8,16,0,1
12/9/2019,Kebler,13,36,0,1
12/10/2019,Kebler,16,36,0,3
12/11/2019,Kebler,3,39,0,2
12/12/2019,Kebler,2,29,0,2
12/13/2019,Kebler,10,32,0,2
12/14/2019,Kebler,3,32,1,2
12/15/2019,Kebler,20,70,1,6
12/16/2019,Kebler,12,68,0,9
12/17/2019,Kebler,10,36,3,0
12/18/2019,Kebler,9,52,0,11
12/19/2019,Kebler,12,56,1,7
12/20/2019,Kebler,9,62,0,15
12/21/2019,Kebler,7,100,0,8
12/22/2019,Kebler,13,16,0,10
12/23/2019,Kebler,2,124,1,16
12/24/2019,Kebler,6,141,0,3
12/25/2019,Kebler,2,154,0,3
12/26/2019,Kebler,10,213,0,15
12/27/2019,Kebler,9,159,0,4
12/28/2019,Kebler,23,158,1,8
12/29/2019,Kebler,9,146,0,4
12/30/2019,Kebler,5,163,0,3
12/31/2019,Kebler,21,176,0,8
1/1/2020,Kebler,11,92,0,NA
1/2/2020,Kebler,12,125,0,14
1/3/2020,Kebler,18,140,0,5
1/4/2020,Kebler,15,90,1,14
1/5/2020,Kebler,7,24,0,10
1/6/2020,Kebler,NA,NA,NA,NA
1/7/2020,Kebler,NA,NA,NA,NA
1/8/2020,Kebler,NA,NA,NA,NA
1/9/2020,Kebler,NA,NA,NA,NA
1/10/2020,Kebler,NA,NA,NA,NA
1/11/2020,Kebler,3,23,0,2
1/12/2020,Kebler,3,47,0,3
1/13/2020,Kebler,6,38,0,0
1/14/2020,Kebler,12,37,0,1
1/15/2020,Kebler,5,27,0,0
1/16/2020,Kebler,1,43,1,2
1/17/2020,Kebler,0,6,0,0
1/18/2020,Kebler,5,30,0,2
1/19/2020,Kebler,11,65,0,2
1/20/2020,Kebler,2,48,0,0
1/21/2020,Kebler,4,22,1,0
1/22/2020,Kebler,6,47,0,2
1/23/2020,Kebler,11,37,0,2
1/24/2020,Kebler,2,49,0,4
1/25/2020,Kebler,6,77,0,0
1/26/2020,Kebler,3,68,0,4
1/27/2020,Kebler,3,28,0,1
1/28/2020,Kebler,3,53,0,6
1/29/2020,Kebler,4,55,0,5
1/30/2020,Kebler,1,71,0,2
1/31/2020,Kebler,10,40,0,15
2/1/2020,Kebler,7,97,0,19
2/2/2020,Kebler,11,92,0,17
2/3/2020,Kebler,3,47,0,10
2/4/2020,Kebler,1,34,0,3
2/5/2020,Kebler,4,42,0,10
2/6/2020,Kebler,3,39,0,0
2/7/2020,Kebler,NA,NA,NA,NA
2/8/2020,Kebler,3,13,0,0
2/9/2020,Kebler,13,56,0,4
2/10/2020,Kebler,17,16,0,2
2/11/2020,Kebler,1,36,0,5
2/12/2020,Kebler,0,23,0,0
2/13/2020,Kebler,2,28,0,0
2/14/2020,Kebler,3,33,0,4
2/15/2020,Kebler,5,35,0,2
2/16/2020,Kebler,1,51,1,0
2/17/2020,Kebler,3,9,0,0
2/18/2020,Kebler,0,27,0,3
2/19/2020,Kebler,2,40,0,1
2/20/2020,Kebler,3,47,1,0
2/21/2020,Kebler,4,80,0,3
2/22/2020,Kebler,4,86,0,9
2/23/2020,Kebler,1,25,0,0
2/24/2020,Kebler,4,10,0,1
2/25/2020,Kebler,2,35,0,5
2/26/2020,Kebler,1,42,0,8
2/27/2020,Kebler,12,56,1,14
2/28/2020,Kebler,6,86,0,7
2/29/2020,Kebler,13,147,1,26
3/1/2020,Kebler,3,83,2,11
3/2/2020,Kebler,8,62,1,0
3/3/2020,Kebler,0,10,0,0
3/4/2020,Kebler,2,8,0,0
3/5/2020,Kebler,1,57,0,21
3/6/2020,Kebler,2,87,0,6
3/7/2020,Kebler,14,92,3,16
3/8/2020,Kebler,15,60,0,1
3/9/2020,Kebler,1,47,0,5
3/10/2020,Kebler,13,102,0,11
3/11/2020,Kebler,7,136,0,10
3/12/2020,Kebler,9,114,0,7
3/13/2020,Kebler,3,62,0,15
3/14/2020,Kebler,1,26,0,20
3/15/2020,Kebler,5,75,1,18
3/16/2020,Kebler,10,199,1,7
3/17/2020,Kebler,9,169,1,15
3/18/2020,Kebler,13,53,0,12
3/19/2020,Kebler,30,44,1,3
3/20/2020,Kebler,26,46,2,13
3/21/2020,Kebler,29,49,0,30
3/22/2020,Kebler,10,40,0,15
3/23/2020,Kebler,7,40,1,11
3/24/2020,Kebler,5,58,3,12
3/25/2020,Kebler,14,68,0,14
3/26/2020,Kebler,12,95,0,12
3/27/2020,Kebler,11,53,0,7
3/28/2020,Kebler,4,46,0,41
3/29/2020,Kebler,4,11,0,35
3/30/2020,Kebler,8,49,0,19
3/31/2020,Kebler,7,20,0,20
4/1/2020,Kebler,2,23,0,15
4/2/2020,Kebler,17,37,0,14
4/3/2020,Kebler,0,3,0,8
4/4/2020,Kebler,0,4,0,11
4/5/2020,Kebler,2,8,0,13
4/6/2020,Kebler,1,7,0,4
4/7/2020,Kebler,5,12,1,3
4/8/2020,Kebler,2,32,0,6
4/9/2020,Kebler,4,17,0,3
4/10/2020,Kebler,2,6,0,3
4/11/2020,Kebler,3,47,1,5
4/12/2020,Kebler,5,30,1,24
4/13/2020,Kebler,3,28,0,18
4/14/2020,Kebler,6,25,0,12
4/15/2020,Kebler,8,19,0,8
