Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
4/12/2020,Washington Gulch,NA,NA,NA,NA
4/13/2020,Washington Gulch,NA,NA,NA,NA
4/14/2020,Washington Gulch,NA,NA,NA,NA
4/15/2020,Washington Gulch,NA,NA,NA,NA
4/16/2020,Washington Gulch,NA,NA,NA,NA
4/17/2020,Washington Gulch,NA,NA,NA,NA
4/18/2020,Washington Gulch,NA,NA,NA,NA
4/19/2020,Washington Gulch,NA,NA,NA,NA
4/20/2020,Washington Gulch,NA,NA,NA,NA
4/21/2020,Washington Gulch,NA,NA,NA,NA
4/22/2020,Washington Gulch,NA,NA,NA,NA
4/23/2020,Washington Gulch,NA,NA,NA,NA
4/24/2020,Washington Gulch,NA,NA,NA,NA
4/25/2020,Washington Gulch,NA,NA,NA,NA
4/26/2020,Washington Gulch,NA,NA,NA,NA
4/27/2020,Washington Gulch,NA,NA,NA,NA
4/28/2020,Washington Gulch,7,0,0,2
4/29/2020,Washington Gulch,4,1,0,0
4/30/2020,Washington Gulch,1,0,0,0
